provider_id,name,specialty,phone,email,address,state,license_id,npi_number,facility_name,validation_confidence
1,Michael Gupta,Neurology,+91-7787846414,michael.gupta@example.com,"107 Main Rd, Lucknow, India",DL,LIC-64886,NPI-5964958674,MedStar Center,60
2,Emily Khan,Pediatrics,+91-7613608295,emily.khan@example.com,"152 Park Ave, Ahmedabad, India",GJ,LIC-74820,NPI-8395928407,LifeLine Hospital,79
3,Rohan Khan,Cardiology,+91-8306710475,rohan.khan@example.com,"58 2nd St, Lucknow, India",RJ,LIC-35658,NPI-8667272366,HealthCare Plus,93
4,Neha Mehta,Orthopedics,+91-9609385266,neha.mehta@example.com,"135 Main Rd, Mumbai, India",KA,LIC-90038,NPI-9370399619,City Clinic,63
5,Sneha Mehta,Dermatology,+91-7419498548,sneha.mehta@example.com,"130 Park Ave, Chennai, India",GJ,LIC-58555,NPI-4578544903,MedStar Center,84
6,Amit Gupta,Dermatology,+91-9845511527,amit.gupta@example.com,"132 2nd St, Ahmedabad, India",RJ,LIC-87189,NPI-7643070057,LifeLine Hospital,78
7,Rohan Iyer,Pediatrics,+91-8697157321,rohan.iyer@example.com,"190 2nd St, Jaipur, India",WB,LIC-21534,NPI-5128202429,LifeLine Hospital,70
8,Rohan Khan,Psychiatry,+91-8532243865,rohan.khan@example.com,"188 Main Rd, Mumbai, India",WB,LIC-48044,NPI-1067157848,MedStar Center,58
9,Amit Wilson,Psychiatry,+91-7060472382,amit.wilson@example.com,"139 Park Ave, Mumbai, India",RJ,LIC-43159,NPI-3602578298,City Clinic,91
10,Sneha Mehta,Pediatrics,+91-9677045063,sneha.mehta@example.com,"12 2nd St, Mumbai, India",TN,LIC-99135,NPI-6691619031,City Clinic,84
11,Emily Brown,Orthopedics,+91-9410522146,emily.brown@example.com,"193 Park Ave, Lucknow, India",KA,LIC-18110,NPI-8941024386,City Clinic,54
12,Michael Davis,Orthopedics,+91-9245120392,michael.davis@example.com,"15 2nd St, Bangalore, India",RJ,LIC-33419,NPI-1866377394,MedStar Center,81
13,Amit Gupta,Neurology,+91-9184294495,amit.gupta@example.com,"132 2nd St, Lucknow, India",TN,LIC-81910,NPI-3318599822,MedStar Center,78
14,Michael Reddy,ENT,+91-9681580201,michael.reddy@example.com,"45 2nd St, Mumbai, India",MH,LIC-12693,NPI-7611424586,LifeLine Hospital,77
15,Michael Sharma,Cardiology,+91-7978974072,michael.sharma@example.com,"27 2nd St, Mumbai, India",DL,LIC-65016,NPI-9619793766,HealthCare Plus,57
16,Raj Khan,Cardiology,+91-7514817842,raj.khan@example.com,"172 Park Ave, Delhi, India",KA,LIC-71087,NPI-2734463155,City Clinic,98
17,Neha Davis,Dermatology,+91-8292262512,neha.davis@example.com,"101 Main Rd, Kolkata, India",UP,LIC-36736,NPI-7453957249,LifeLine Hospital,72
18,Amit Sharma,Orthopedics,+91-9923607677,amit.sharma@example.com,"130 Main Rd, Chennai, India",WB,LIC-36309,NPI-7007905237,MedStar Center,97
19,Amit Mehta,Pediatrics,+91-9182697146,amit.mehta@example.com,"70 Main Rd, Delhi, India",TN,LIC-59811,NPI-7494390210,MedStar Center,68
20,Michael Gupta,Cardiology,+91-9967554976,michael.gupta@example.com,"168 Park Ave, Bangalore, India",KA,LIC-21111,NPI-3902066954,LifeLine Hospital,74
21,Michael Iyer,Orthopedics,+91-7981614854,michael.iyer@example.com,"144 2nd St, Kolkata, India",UP,LIC-26371,NPI-9573844352,LifeLine Hospital,61
22,John Davis,Cardiology,+91-8197743336,john.davis@example.com,"99 Park Ave, Kolkata, India",WB,LIC-61407,NPI-8168249959,LifeLine Hospital,84
23,Raj Reddy,Cardiology,+91-7021739356,raj.reddy@example.com,"146 2nd St, Bangalore, India",TN,LIC-87505,NPI-7220934306,LifeLine Hospital,90
24,Amit Gupta,Cardiology,+91-9121257357,amit.gupta@example.com,"21 Park Ave, Delhi, India",GJ,LIC-96416,NPI-6434002806,HealthCare Plus,95
25,Sarah Brown,Neurology,+91-9090541618,sarah.brown@example.com,"182 Park Ave, Delhi, India",RJ,LIC-59377,NPI-3158809885,City Clinic,77
26,Amit Khan,Pediatrics,+91-9144019247,amit.khan@example.com,"147 Park Ave, Kolkata, India",DL,LIC-83744,NPI-9392059356,HealthCare Plus,55
27,Raj Khan,Psychiatry,+91-8420561756,raj.khan@example.com,"46 Main Rd, Jaipur, India",WB,LIC-76235,NPI-1323609715,MedStar Center,70
28,Michael Sharma,Psychiatry,+91-9084261186,michael.sharma@example.com,"128 2nd St, Mumbai, India",WB,LIC-42745,NPI-9289359170,LifeLine Hospital,95
29,Rohan Brown,General Medicine,+91-7601656257,rohan.brown@example.com,"127 Park Ave, Bangalore, India",DL,LIC-55017,NPI-4645008999,City Clinic,58
30,Sarah Davis,Neurology,+91-8273501353,sarah.davis@example.com,"26 Park Ave, Bangalore, India",DL,LIC-39592,NPI-8712870799,HealthCare Plus,61
31,Michael Patel,Dermatology,+91-8883232031,michael.patel@example.com,"191 2nd St, Delhi, India",MH,LIC-62921,NPI-4603191957,HealthCare Plus,71
32,Neha Iyer,ENT,+91-8302515470,neha.iyer@example.com,"54 Park Ave, Chennai, India",UP,LIC-90135,NPI-2166267963,LifeLine Hospital,93
33,Michael Gupta,ENT,+91-7221971308,michael.gupta@example.com,"116 2nd St, Jaipur, India",GJ,LIC-90738,NPI-5164129137,LifeLine Hospital,91
34,Priya Sharma,Psychiatry,+91-8163215678,priya.sharma@example.com,"19 2nd St, Jaipur, India",RJ,LIC-35945,NPI-1791707097,City Clinic,72
35,Raj Khan,Cardiology,+91-7744293433,raj.khan@example.com,"122 Main Rd, Jaipur, India",WB,LIC-56175,NPI-5698150005,LifeLine Hospital,74
36,John Sharma,Psychiatry,+91-9219193532,john.sharma@example.com,"192 Park Ave, Lucknow, India",GJ,LIC-69638,NPI-6823858319,MedStar Center,86
37,Raj Khan,General Medicine,+91-7174928880,raj.khan@example.com,"94 2nd St, Ahmedabad, India",KA,LIC-70403,NPI-3036561099,LifeLine Hospital,75
38,John Davis,Pediatrics,+91-7743896352,john.davis@example.com,"101 Park Ave, Bangalore, India",TN,LIC-33049,NPI-8022673732,LifeLine Hospital,83
39,Sneha Iyer,Orthopedics,+91-9160953785,sneha.iyer@example.com,"96 Main Rd, Kolkata, India",WB,LIC-19540,NPI-1699798019,LifeLine Hospital,73
40,Michael Patel,Cardiology,+91-9515886975,michael.patel@example.com,"160 Park Ave, Chennai, India",UP,LIC-28071,NPI-2968181152,City Clinic,92
41,Priya Sharma,Cardiology,+91-9798105767,priya.sharma@example.com,"74 Park Ave, Chennai, India",KA,LIC-30764,NPI-1921653259,MedStar Center,95
42,Priya Patel,Orthopedics,+91-8445489366,priya.patel@example.com,"81 2nd St, Kolkata, India",DL,LIC-98668,NPI-8222475721,HealthCare Plus,83
