provider_id,full_name,registration_number,mci_number,license_id,specialization,phone,email,clinic_name,address,city,state,zipcode,license_valid_from,license_valid_to,verification_status,data_quality_score
1,Dr. Provider 1,TNMC/24423,KLMC/97412,LIC7956230,Cardiologist,+918436451973,provider1@hospital.com,Clinic 1,178 Health Street,Chennai,KA,543264,2016-01-01,2027-12-31,Verified,50
2,Dr. Provider 2,KLMC/46475,APMC/30055,LIC2631564,Gynecologist,+919195938252,provider2@hospital.com,Clinic 2,34 Health Street,Ahmedabad,WB,521217,2015-01-01,2027-12-31,Verified,76
3,Dr. Provider 3,RJMC/47028,KLMC/56466,LIC5555100,ENT Specialist,+917088919289,provider3@hospital.com,Clinic 3,157 Health Street,Jaipur,TN,420326,2017-01-01,2030-12-31,Expired,46
4,Dr. Provider 4,GJMC/48262,KAMC/01553,LIC0120664,ENT Specialist,+919759511587,provider4@hospital.com,Clinic 4,67 Health Street,Kolkata,GJ,690738,2010-01-01,2030-12-31,Expired,70
5,Dr. Provider 5,MHMC/70745,DLMC/09568,LIC6593569,Gynecologist,+918225169887,provider5@hospital.com,Clinic 5,111 Health Street,Chennai,DL,685388,2021-01-01,2027-12-31,Expired,53
6,Dr. Provider 6,KAMC/94069,WBMC/98880,LIC2633663,ENT Specialist,+916176112850,provider6@hospital.com,Clinic 6,103 Health Street,Bengaluru,KA,491001,2022-01-01,2029-12-31,Verified,51
7,Dr. Provider 7,KLMC/33990,RJMC/19861,LIC2856009,General Physician,+916363627477,provider7@hospital.com,Clinic 7,36 Health Street,Chennai,WB,650816,2018-01-01,2025-12-31,Expired,65
8,Dr. Provider 8,MHMC/54399,APMC/95546,LIC6052902,Orthopedic Surgeon,+917068702306,provider8@hospital.com,Clinic 8,30 Health Street,Delhi,AP,437920,2019-01-01,2025-12-31,Pending,44
9,Dr. Provider 9,WBMC/46887,MHMC/99356,LIC6794128,Gynecologist,+918288077851,provider9@hospital.com,Clinic 9,8 Health Street,Ahmedabad,KL,563360,2014-01-01,2030-12-31,Pending,79
10,Dr. Provider 10,KAMC/24115,KLMC/75026,LIC7846398,Pediatrician,+916878370087,provider10@hospital.com,Clinic 10,164 Health Street,Hyderabad,AP,530149,2013-01-01,2030-12-31,Verified,43
11,Dr. Provider 11,GJMC/84273,KAMC/15780,LIC0099026,Orthopedic Surgeon,+919183420549,provider11@hospital.com,Clinic 11,107 Health Street,Chennai,MH,664693,2012-01-01,2028-12-31,Pending,45
12,Dr. Provider 12,RJMC/37930,KLMC/19372,LIC8929011,Orthopedic Surgeon,+916479771879,provider12@hospital.com,Clinic 12,122 Health Street,Kochi,UP,477787,2020-01-01,2026-12-31,Pending,87
13,Dr. Provider 13,KAMC/08669,GJMC/46963,LIC5078514,Pediatrician,+916869821331,provider13@hospital.com,Clinic 13,62 Health Street,Delhi,AP,616417,2012-01-01,2026-12-31,Verified,86
14,Dr. Provider 14,GJMC/04272,KAMC/28785,LIC0694313,ENT Specialist,+917449321674,provider14@hospital.com,Clinic 14,94 Health Street,Kolkata,GJ,681791,2018-01-01,2027-12-31,Verified,98
15,Dr. Provider 15,UPMC/03669,DLMC/73309,LIC8004114,General Physician,+918060004422,provider15@hospital.com,Clinic 15,197 Health Street,Ahmedabad,KL,500926,2012-01-01,2025-12-31,Expired,74
16,Dr. Provider 16,WBMC/60368,APMC/73461,LIC9320948,Cardiologist,+918287077876,provider16@hospital.com,Clinic 16,162 Health Street,Delhi,DL,579187,2015-01-01,2026-12-31,Verified,99
17,Dr. Provider 17,KAMC/51161,DLMC/70417,LIC4570381,Cardiologist,+919931005244,provider17@hospital.com,Clinic 17,28 Health Street,Ahmedabad,WB,449471,2012-01-01,2028-12-31,Verified,72
18,Dr. Provider 18,KLMC/91381,KAMC/02195,LIC4195188,Cardiologist,+917985140755,provider18@hospital.com,Clinic 18,19 Health Street,Lucknow,UP,486412,2016-01-01,2030-12-31,Verified,95
19,Dr. Provider 19,UPMC/09183,MHMC/11535,LIC1384817,Cardiologist,+919241731705,provider19@hospital.com,Clinic 19,43 Health Street,Bengaluru,RJ,587697,2019-01-01,2027-12-31,Verified,70
20,Dr. Provider 20,TNMC/87066,DLMC/41627,LIC8389363,Gynecologist,+919251265471,provider20@hospital.com,Clinic 20,103 Health Street,Mumbai,TN,435217,2012-01-01,2029-12-31,Pending,72
21,Dr. Provider 21,UPMC/29103,TNMC/31257,LIC3797889,Cardiologist,+918112870364,provider21@hospital.com,Clinic 21,50 Health Street,Kolkata,UP,423784,2022-01-01,2026-12-31,Verified,40
22,Dr. Provider 22,UPMC/94795,RJMC/27403,LIC4469994,Dermatologist,+917723894037,provider22@hospital.com,Clinic 22,50 Health Street,Bengaluru,MH,612839,2017-01-01,2026-12-31,Expired,76
23,Dr. Provider 23,KLMC/71282,DLMC/88688,LIC6247069,Neurologist,+918567475327,provider23@hospital.com,Clinic 23,25 Health Street,Jaipur,UP,464635,2022-01-01,2026-12-31,Verified,58
24,Dr. Provider 24,DLMC/46368,MHMC/17079,LIC2120288,Cardiologist,+918709290157,provider24@hospital.com,Clinic 24,119 Health Street,Ahmedabad,DL,566557,2014-01-01,2025-12-31,Verified,87
25,Dr. Provider 25,RJMC/99125,KAMC/67988,LIC1839261,ENT Specialist,+918984913249,provider25@hospital.com,Clinic 25,25 Health Street,Hyderabad,KL,417985,2022-01-01,2030-12-31,Verified,77
26,Dr. Provider 26,UPMC/98558,WBMC/56658,LIC0550144,Gynecologist,+916508756421,provider26@hospital.com,Clinic 26,117 Health Street,Ahmedabad,KL,629542,2013-01-01,2025-12-31,Verified,60
27,Dr. Provider 27,GJMC/68840,UPMC/09602,LIC5944603,Cardiologist,+919020871358,provider27@hospital.com,Clinic 27,57 Health Street,Kochi,AP,563536,2022-01-01,2025-12-31,Pending,91
28,Dr. Provider 28,DLMC/79171,MHMC/03672,LIC0798987,Psychiatrist,+917244871120,provider28@hospital.com,Clinic 28,94 Health Street,Kolkata,KA,612377,2022-01-01,2028-12-31,Verified,85
29,Dr. Provider 29,KLMC/41649,WBMC/81476,LIC9508657,ENT Specialist,+917716340178,provider29@hospital.com,Clinic 29,55 Health Street,Kochi,RJ,439978,2010-01-01,2029-12-31,Pending,86
30,Dr. Provider 30,DLMC/39692,RJMC/94003,LIC8167014,Dermatologist,+917725718418,provider30@hospital.com,Clinic 30,149 Health Street,Kochi,TN,473118,2012-01-01,2030-12-31,Verified,91
31,Dr. Provider 31,MHMC/60507,UPMC/95944,LIC6484883,ENT Specialist,+916101605548,provider31@hospital.com,Clinic 31,135 Health Street,Lucknow,AP,467452,2016-01-01,2028-12-31,Pending,57
32,Dr. Provider 32,RJMC/09026,RJMC/48170,LIC9209296,Gynecologist,+919347725247,provider32@hospital.com,Clinic 32,29 Health Street,Hyderabad,GJ,637219,2013-01-01,2028-12-31,Verified,74
33,Dr. Provider 33,RJMC/41101,APMC/17377,LIC8635460,Pediatrician,+919577978236,provider33@hospital.com,Clinic 33,153 Health Street,Delhi,DL,525942,2012-01-01,2025-12-31,Expired,54
34,Dr. Provider 34,APMC/12048,APMC/74880,LIC9366372,Neurologist,+916306127821,provider34@hospital.com,Clinic 34,31 Health Street,Kolkata,KL,595075,2018-01-01,2028-12-31,Pending,96
35,Dr. Provider 35,KAMC/44241,GJMC/48488,LIC5160959,General Physician,+916727234342,provider35@hospital.com,Clinic 35,136 Health Street,Kolkata,GJ,465938,2011-01-01,2030-12-31,Verified,66
36,Dr. Provider 36,TNMC/05102,KLMC/91992,LIC6476280,ENT Specialist,+917140595407,provider36@hospital.com,Clinic 36,189 Health Street,Kochi,GJ,421859,2022-01-01,2025-12-31,Pending,78
37,Dr. Provider 37,TNMC/56816,APMC/75458,LIC9032981,ENT Specialist,+916140196746,provider37@hospital.com,Clinic 37,182 Health Street,Kochi,GJ,672985,2016-01-01,2030-12-31,Pending,48
38,Dr. Provider 38,WBMC/41257,WBMC/08217,LIC0967333,Orthopedic Surgeon,+918458352152,provider38@hospital.com,Clinic 38,122 Health Street,Kochi,RJ,495978,2014-01-01,2025-12-31,Verified,50
39,Dr. Provider 39,APMC/34479,DLMC/78396,LIC4573104,Gynecologist,+918358450292,provider39@hospital.com,Clinic 39,158 Health Street,Jaipur,AP,417814,2019-01-01,2025-12-31,Expired,65
40,Dr. Provider 40,TNMC/69461,TNMC/26162,LIC9934388,Orthopedic Surgeon,+917844867042,provider40@hospital.com,Clinic 40,87 Health Street,Mumbai,RJ,654817,2022-01-01,2026-12-31,Verified,42
41,Dr. Provider 41,UPMC/48424,APMC/76208,LIC2268833,Pediatrician,+919191426369,provider41@hospital.com,Clinic 41,47 Health Street,Mumbai,MH,576934,2013-01-01,2029-12-31,Expired,52
42,Dr. Provider 42,KAMC/54944,DLMC/22876,LIC6615039,Orthopedic Surgeon,+918045568641,provider42@hospital.com,Clinic 42,116 Health Street,Lucknow,GJ,409546,2012-01-01,2026-12-31,Pending,71
43,Dr. Provider 43,DLMC/17296,UPMC/86995,LIC8752723,Psychiatrist,+918378086788,provider43@hospital.com,Clinic 43,11 Health Street,Kolkata,AP,666411,2013-01-01,2028-12-31,Verified,86
44,Dr. Provider 44,KAMC/34587,GJMC/86212,LIC3295908,Neurologist,+917859433135,provider44@hospital.com,Clinic 44,10 Health Street,Kochi,AP,418565,2013-01-01,2029-12-31,Expired,59
45,Dr. Provider 45,TNMC/54275,RJMC/86920,LIC8470253,General Physician,+919659689877,provider45@hospital.com,Clinic 45,166 Health Street,Ahmedabad,WB,457108,2010-01-01,2025-12-31,Verified,78
46,Dr. Provider 46,APMC/34270,RJMC/88569,LIC3356157,Dermatologist,+919074741409,provider46@hospital.com,Clinic 46,190 Health Street,Mumbai,TN,610799,2019-01-01,2027-12-31,Pending,51
47,Dr. Provider 47,GJMC/63946,GJMC/00743,LIC8107423,Orthopedic Surgeon,+918843504593,provider47@hospital.com,Clinic 47,48 Health Street,Kolkata,KL,437513,2017-01-01,2028-12-31,Pending,79
48,Dr. Provider 48,MHMC/11911,WBMC/81342,LIC0610560,ENT Specialist,+916003446848,provider48@hospital.com,Clinic 48,96 Health Street,Kolkata,AP,539876,2013-01-01,2029-12-31,Verified,49
49,Dr. Provider 49,WBMC/61863,UPMC/42391,LIC7385728,Pediatrician,+917428037229,provider49@hospital.com,Clinic 49,140 Health Street,Ahmedabad,KL,403695,2015-01-01,2025-12-31,Expired,42
50,Dr. Provider 50,TNMC/88358,RJMC/98355,LIC8448260,Psychiatrist,+919820316322,provider50@hospital.com,Clinic 50,131 Health Street,Hyderabad,RJ,451963,2017-01-01,2027-12-31,Pending,65
51,Dr. Provider 51,RJMC/79515,DLMC/59812,LIC6685157,Orthopedic Surgeon,+916462684059,provider51@hospital.com,Clinic 51,40 Health Street,Mumbai,MH,646534,2017-01-01,2028-12-31,Expired,47
52,Dr. Provider 52,RJMC/98778,UPMC/89157,LIC1540065,Gynecologist,+919826333660,provider52@hospital.com,Clinic 52,85 Health Street,Hyderabad,AP,588864,2018-01-01,2028-12-31,Verified,98
53,Dr. Provider 53,MHMC/26616,KAMC/48734,LIC1469140,Psychiatrist,+919360218961,provider53@hospital.com,Clinic 53,10 Health Street,Hyderabad,KL,691773,2020-01-01,2028-12-31,Verified,42
54,Dr. Provider 54,DLMC/46458,UPMC/36567,LIC2352301,Dermatologist,+916098743155,provider54@hospital.com,Clinic 54,136 Health Street,Hyderabad,WB,490205,2011-01-01,2029-12-31,Verified,41
55,Dr. Provider 55,TNMC/49052,UPMC/67019,LIC6497709,Psychiatrist,+919081692757,provider55@hospital.com,Clinic 55,2 Health Street,Chennai,KL,603186,2014-01-01,2029-12-31,Verified,84
56,Dr. Provider 56,DLMC/12818,WBMC/45118,LIC1253559,Orthopedic Surgeon,+917126099114,provider56@hospital.com,Clinic 56,13 Health Street,Hyderabad,WB,401077,2017-01-01,2025-12-31,Pending,48
57,Dr. Provider 57,DLMC/03087,GJMC/34837,LIC3652432,Gynecologist,+917887489284,provider57@hospital.com,Clinic 57,87 Health Street,Kolkata,AP,419881,2019-01-01,2026-12-31,Verified,85
58,Dr. Provider 58,MHMC/39388,UPMC/91538,LIC5523878,Dermatologist,+918877306122,provider58@hospital.com,Clinic 58,4 Health Street,Lucknow,UP,647698,2013-01-01,2029-12-31,Pending,78
59,Dr. Provider 59,DLMC/77854,KAMC/21025,LIC2397998,Neurologist,+919964863952,provider59@hospital.com,Clinic 59,60 Health Street,Bengaluru,RJ,415679,2015-01-01,2030-12-31,Verified,66
60,Dr. Provider 60,MHMC/27910,KLMC/50645,LIC7983015,Orthopedic Surgeon,+917816557880,provider60@hospital.com,Clinic 60,42 Health Street,Lucknow,GJ,407235,2016-01-01,2027-12-31,Expired,94
61,Dr. Provider 61,KLMC/88581,TNMC/14021,LIC9157120,Gynecologist,+916842694647,provider61@hospital.com,Clinic 61,67 Health Street,Bengaluru,RJ,482401,2020-01-01,2030-12-31,Verified,50
62,Dr. Provider 62,MHMC/75633,GJMC/34352,LIC9320459,Cardiologist,+917711643008,provider62@hospital.com,Clinic 62,153 Health Street,Hyderabad,WB,504804,2016-01-01,2029-12-31,Expired,65
63,Dr. Provider 63,TNMC/32170,DLMC/29089,LIC4628182,Gynecologist,+919267672279,provider63@hospital.com,Clinic 63,31 Health Street,Ahmedabad,RJ,412650,2020-01-01,2028-12-31,Pending,90
64,Dr. Provider 64,UPMC/99449,WBMC/66645,LIC3731824,Neurologist,+917640224618,provider64@hospital.com,Clinic 64,26 Health Street,Jaipur,TN,615204,2019-01-01,2026-12-31,Expired,55
